sample,plot,treatment,species,light,diameter,rootdepth,rootdm,stemdm,leafdm,licorleafdm,totalleafdm,totaldm,rmf,smf,lmf,agmf,la,scsa,leafstemratio,notes
269,R,Control,PIEN,33.4,1.46,6.2,0.0173,0.0402,0.0514,,0.0514,0.1089,0.158861341,0.369146006,0.471992654,0.841138659,4.321,0.016741547,258.1003975,
270,R,Control,PIEN,33.4,1.48,4.6,0.0294,0.0169,0.0219,,0.0219,0.0682,0.431085044,0.247800587,0.32111437,0.568914956,1.568,0.017203361,91.14497837,
271,R,Control,PIEN,33.4,1.69,10,0.0739,0.0736,0.1057,,0.1057,0.2532,0.291864139,0.290679305,0.417456556,0.708135861,8.842,0.022431757,394.1733152,
272,R,Control,PIEN,33.4,1.26,5,0.0312,0.0358,0.0802,,0.0802,0.1472,0.211956522,0.243206522,0.544836957,0.788043478,7.342,0.012468981,588.8211601,
273,R,Control,PIEN,33.4,1.89,8.3,0.0647,0.0776,0.1113,,0.1113,0.2536,0.255126183,0.305993691,0.438880126,0.744873817,9.573,0.028055208,341.2200712,
274,R,Control,PIEN,33.4,1.69,7.7,0.0403,0.0425,0.0917,,0.0917,0.1745,0.230945559,0.243553009,0.525501433,0.769054441,8.835,0.022431757,393.8612576,
275,S,Drought,ABLA,20.5,2.66,9.4,0.1592,0.187,0.1153,,0.1153,0.4615,0.34496208,0.405200433,0.249837486,0.65503792,12.081,0.055571632,217.3950893,
276,S,Drought,ABLA,20.5,2.53,11.7,0.077,0.1699,0.1132,0.0347,0.1479,0.3948,0.195035461,0.430344478,0.374620061,0.804964539,12.753,0.050272551,253.6772003,
277,S,Drought,ABLA,20.5,4.59,7,0.2754,0.4703,0.4579,,0.4579,1.2036,0.228813559,0.390744433,0.380442007,0.771186441,40.451,0.16546847,244.4634914,
278,S,Control,ABLA,20.5,2.28,8.8,0.1262,0.0617,0.0727,,0.0727,0.2606,0.484267076,0.23676132,0.278971604,0.515732924,7.44,0.040828138,182.2272663,
279,S,Control,ABLA,20.5,3.54,17.2,0.3291,0.689,0.6505,,0.6505,1.6686,0.197231212,0.412921012,0.389847777,0.802768788,49.873,0.098422956,506.7212153,
280,S,Control,ABLA,20.5,2.26,10.7,0.0965,0.1615,0.1097,0.015,0.1247,0.3827,0.252155736,0.422001568,0.325842697,0.747844264,11.061,0.040114997,275.7322931,
281,T,Drought,PIEN,22.2,3.19,16.2,0.3413,0.5973,0.842,0.0101,0.8521,1.7907,0.190595856,0.33355671,0.475847434,0.809404144,82.676,0.079922903,1034.446916,
282,T,Drought,PIEN,22.2,1.14,2.9,0.0075,0.0196,0.0209,,0.0209,0.048,0.15625,0.408333333,0.435416667,0.84375,2.262,0.010207035,221.6118691,
283,T,Drought,PIEN,22.2,1.02,8,0.0121,0.0125,0.0198,,0.0198,0.0444,0.272522523,0.281531532,0.445945946,0.727477477,2.173,0.008171282,265.9313274,
284,T,Drought,PIEN,22.2,1.35,6.9,0.0168,0.0231,0.0519,,0.0519,0.0918,0.183006536,0.251633987,0.565359477,0.816993464,5.26,0.014313882,367.4754461,
285,T,Drought,PIEN,22.2,1.37,10.7,0.0412,0.0516,0.1095,,0.1095,0.2023,0.203657934,0.255066733,0.541275334,0.796342066,13.386,0.014741138,908.0709972,
286,T,Drought,PIEN,22.2,0.81,3,0.0064,0.0056,0.0149,,0.0149,0.0269,0.237918216,0.208178439,0.553903346,0.762081784,1.689,0.005152997,327.7703995,
287,T,Drought,PIEN,22.2,1.29,6.3,0.0143,0.0133,0.0161,,0.0161,0.0437,0.327231121,0.304347826,0.368421053,0.672768879,1.931,0.013069811,147.745061,
288,T,Drought,PIEN,22.2,1.8,10.2,0.0839,0.0824,0.1818,,0.1818,0.3481,0.241022695,0.236713588,0.522263717,0.758977305,19.28,0.0254469,757.6561242,
289,T,Drought,ABLA,22.2,1.07,8.8,0.0153,0.0129,0.0279,,0.0279,0.0561,0.272727273,0.229946524,0.497326203,0.727272727,3.059,0.008992024,340.1903893,
290,T,Drought,ABLA,22.2,3.51,10.8,0.6649,0.8907,1.5155,,1.5155,3.0711,0.21650223,0.290026375,0.493471395,0.78349777,125.283,0.096761839,1294.756292,
291,T,Drought,ABLA,22.2,1.59,9.5,0.0657,0.0648,0.0821,,0.0821,0.2126,0.309031044,0.304797742,0.386171214,0.690968956,8.275,0.019855651,416.7579302,
292,T,Drought,ABLA,22.2,2.1,11.2,0.1444,0.1404,0.2652,0.0254,0.2906,0.5754,0.250955857,0.244004171,0.505039972,0.749044143,29.236,0.034636059,844.0914134,
293,T,Drought,ABLA,22.2,1.09,3.7,0.0152,0.0178,0.0382,,0.0382,0.0712,0.213483146,0.25,0.536516854,0.786516854,4.164,0.009331316,446.2393287,
294,T,Drought,ABLA,22.2,2.98,8.4,0.208,0.3328,0.6747,,0.6747,1.2155,0.171122995,0.273796791,0.555080214,0.828877005,58.226,0.069746499,834.8232707,
295,T,Control,PIEN,22.2,1.26,7.4,0.0271,0.0273,0.0438,,0.0438,0.0982,0.275967413,0.278004073,0.446028513,0.724032587,4.86,0.012468981,389.7672076,
296,T,Control,PIEN,22.2,1.37,4.2,0.0138,0.0228,0.024,,0.024,0.0606,0.227722772,0.376237624,0.396039604,0.772277228,2.64,0.014741138,179.0906494,
297,T,Control,PIEN,22.2,1.8,8.2,0.0371,0.04,0.0532,,0.0532,0.1303,0.284727552,0.306983883,0.408288565,0.715272448,5.389,0.0254469,211.7743181,
298,T,Control,PIEN,22.2,1.13,6.2,0.0186,0.0119,0.0128,,0.0128,0.0433,0.429561201,0.27482679,0.295612009,0.570438799,1.237,0.010028749,123.3453925,
299,T,Control,PIEN,22.2,1.48,10.4,0.0521,0.0606,0.064,,0.064,0.1767,0.294850028,0.34295416,0.362195812,0.705149972,6.71,0.017203361,390.0400541,
300,T,Control,PIEN,22.2,2.48,9.1,0.1167,0.2731,0.4457,,0.4457,0.8355,0.13967684,0.326870138,0.533453022,0.86032316,41.297,0.048305129,854.919574,
301,T,Control,PIEN,22.2,1.47,8.9,0.0798,0.0509,0.0902,,0.0902,0.2209,0.361249434,0.230421005,0.408329561,0.638750566,8.272,0.016971669,487.4005051,
302,T,Control,PIEN,22.2,1.9,9.9,0.1332,0.144,0.2522,0.0581,0.3103,0.5875,0.226723404,0.245106383,0.528170213,0.773276596,28.035,0.028352874,988.7886603,
303,T,Control,ABLA,22.2,1.35,7.3,0.0172,0.0246,0.0433,,0.0433,0.0851,0.202115159,0.28907168,0.508813161,0.797884841,4.326,0.014313882,302.2241026,
304,T,Control,ABLA,22.2,1.43,11.4,0.0445,0.0335,0.0704,,0.0704,0.1484,0.299865229,0.22574124,0.474393531,0.700134771,6.212,0.016060607,386.784882,
305,T,Control,ABLA,22.2,2.51,7.8,0.1252,0.1185,0.4014,,0.4014,0.6451,0.194078437,0.183692451,0.622229112,0.805921563,31.611,0.04948087,638.8529587,
306,T,Control,ABLA,22.2,3.53,33.2,0.2862,0.4949,0.8172,,0.8172,1.5983,0.179065257,0.309641494,0.511293249,0.820934743,71.772,0.09786768,733.3575312,
307,T,Control,ABLA,22.2,3.02,12.6,0.2994,0.4444,0.3882,0.0277,0.4159,1.1597,0.258170216,0.383202552,0.358627231,0.741829784,38.554,0.071631454,538.2272423,
308,T,Control,ABLA,22.2,3.41,19.6,0.4818,0.3423,0.6681,,0.6681,1.4922,0.322878971,0.229392843,0.447728187,0.677121029,60.071,0.091326884,657.7581264,
